Price,zip,Year Built,Bedrooms,Bathrooms,Approx SQFT,CrimeRate,Hightest_Rated_School
450000,85014,1950,3,1.0,1313.0,1.9,97.13
524900,85032,1984,3,2.75,2026.0,3.2,99.97
500000,85006,1939,2,1.0,942.0,1.9,94.44
424000,85033,1958,5,2.5,2135.0,3.0,95.89
347953,85031,1958,3,2.0,1411.0,2.4,100.04
439000,85029,1980,3,2.0,1442.0,3.3,91.9
350000,85021,1959,3,2.0,1714.0,2.8,91.9
250000,85053,1961,3,2.0,1120.0,1.5,91.9
420000,85041,2003,3,2.0,1376.0,4.5,76.54
789000,85014,1951,3,2.5,1961.0,1.9,97.13
373000,85042,1973,3,1.5,1262.0,2.9,76.54
950000,85012,1947,3,2.0,1850.0,0.6,72.93
375000,85303,1978,3,2.0,1699.0,0.0,95.89
600000,85008,1953,4,3.0,1902.0,4.5,81.79
405000,85021,1958,3,2.0,1200.0,2.8,91.9
389900,85042,1957,3,2.0,1325.0,2.9,76.54
470000,85029,1978,3,2.0,1646.0,3.3,91.9
440000,85041,2013,4,2.0,1681.0,4.5,76.54
485000,85041,2003,3,2.0,1531.0,4.5,76.54
435000,85051,1985,3,2.0,1472.0,4.3,91.9
780000,85042,2018,4,3.5,2660.0,2.9,76.54
374900,85035,1972,3,1.75,1220.0,3.3,95.89
605000,85257,1989,2,2.0,1260.0,2.5,101.35
800000,85022,1984,4,3.0,2371.0,2.6,99.97
369990,85051,1962,3,2.0,1470.0,4.3,91.9
479900,85014,1945,3,2.0,1379.0,1.9,97.13
385000,85021,1959,3,2.0,1486.0,2.8,91.9
500000,85281,1961,5,2.0,2022.0,0.0,94.49
539000,85016,1956,4,3.0,1897.0,3.2,97.13
429900,85035,1970,5,2.0,2140.0,3.3,95.89
321900,85042,1960,4,1.0,1170.0,2.9,76.54
534900,85301,2000,4,2.0,2071.0,0.0,100.04
265000,85004,1940,3,1.0,680.0,1.2,94.44
324950,85009,1950,2,1.0,780.0,4.0,65.7
499000,85051,1964,4,2.0,1920.0,4.3,91.9
799900,85018,1951,3,2.0,1895.0,2.2,75.8
995000,85028,1985,3,3.0,2725.0,0.6,99.97
485000,85015,1950,3,1.0,1308.0,5.5,100.04
339900,85035,1970,4,2.0,1564.0,3.3,95.89
410000,85035,2017,3,2.5,1675.0,3.3,95.89
541000,85302,2005,4,2.0,2159.0,0.0,91.9
625000,85281,1962,4,2.5,2315.0,0.0,94.49
644900,85257,1959,3,2.0,1610.0,2.5,101.35
449900,85023,1959,3,2.0,2243.0,3.4,91.9
460000,85053,1975,3,2.0,1908.0,1.5,91.9
200000,85020,1958,2,1.0,672.0,2.1,97.13
995500,85012,1955,3,2.0,1654.0,0.6,72.93
399000,85029,1962,3,2.0,1283.0,3.3,91.9
529900,85040,2022,4,3.5,2220.0,2.8,76.54
299999,85301,1947,2,1.0,768.0,0.0,100.04
620000,85022,1974,4,1.75,2081.0,2.6,99.97
479900,85023,1991,3,2.0,1567.0,3.4,91.9
375000,85007,1947,2,1.0,917.0,1.6,94.44
435000,85051,1970,3,2.0,1652.0,4.3,91.9
615000,85013,1943,3,2.0,1647.0,2.0,72.93
664450,85014,1970,2,2.0,1614.0,1.9,97.13
405000,85041,2005,4,2.0,1756.0,4.5,76.54
799000,85251,1958,3,2.0,1716.0,0.0,101.35
414900,85042,1983,3,2.0,1334.0,2.9,76.54
334999,85301,1955,3,2.0,950.0,0.0,100.04
300000,85040,1991,3,2.0,1150.0,2.8,76.54
324900,85029,1961,3,2.0,1192.0,3.3,91.9
489900,85041,2004,3,2.5,2334.0,4.5,76.54
345000,85017,1953,4,2.0,1272.0,4.1,100.04
415000,85041,2010,3,2.0,1743.0,4.5,76.54
390000,85019,1957,3,2.0,1430.0,2.5,100.04
199000,85009,1926,1,1.0,800.0,4.0,65.7
390000,85043,2005,3,2.0,1460.0,3.2,76.86
350000,85041,1960,4,1.0,1556.0,4.5,76.54
421000,85303,1994,3,2.0,1446.0,0.0,95.89
444000,85302,1975,4,2.0,1823.0,0.0,91.9
432000,85301,1964,4,3.0,2377.0,0.0,100.04
495000,85042,2000,4,3.0,1841.0,2.9,76.54
454000,85302,2002,3,2.0,1825.0,0.0,91.9
377000,85033,1982,4,2.0,1312.0,3.0,95.89
384000,85033,1979,3,2.0,1524.0,3.0,95.89
334000,85033,1980,2,1.0,840.0,3.0,95.89
424000,85051,1961,4,3.0,1932.0,4.3,91.9
466000,85301,1960,4,2.0,1665.0,0.0,100.04
490000,85302,1985,3,2.0,1889.0,0.0,91.9
497000,85022,1978,4,2.0,1596.0,2.6,99.97
716000,85032,1988,4,3.0,2486.0,3.2,99.97
393000,85021,1960,3,2.0,1321.0,2.8,91.9
345000,85009,1954,3,1.5,1640.0,4.0,65.7
341000,85009,1951,2,1.0,993.0,4.0,65.7
384000,85031,1959,3,2.0,1608.0,2.4,100.04
490000,85339,2005,4,2.0,1885.0,2.0,94.47
475000,85051,1969,3,2.0,1843.0,4.3,91.9
338000,85009,1953,3,1.0,1080.0,4.0,65.7
478000,85019,1960,3,2.0,1676.0,2.5,100.04
325000,85041,1950,2,1.0,1284.0,4.5,76.54
354000,85017,1954,3,2.0,1220.0,4.1,100.04
501000,85339,2005,5,3.0,2706.0,2.0,94.47
523000,85042,2018,3,2.0,1598.0,2.9,76.54
451000,85040,2007,4,2.5,1743.0,2.8,76.54
423000,85304,1972,3,2.0,1559.0,0.2,91.9
338000,85303,1977,2,1.0,832.0,0.0,95.89
505000,85339,2005,5,3.0,2443.0,2.0,94.47
369999,85009,1952,4,2.0,1415.0,4.0,65.7
585000,85053,2004,4,2.0,2472.0,1.5,91.9
335000,85040,1976,3,1.5,1056.0,2.8,76.54
390000,85281,1960,3,1.5,1938.0,0.0,94.49
350000,85014,1904,2,1.0,1070.0,1.9,97.13
389500,85035,1971,3,2.0,1064.0,3.3,95.89
425000,85008,1948,3,2.0,1376.0,4.5,81.79
445000,85022,1983,3,2.0,1322.0,2.6,99.97
900000,85022,1997,4,2.5,2776.0,2.6,99.97
649900,85257,1955,4,2.0,1680.0,2.5,101.35
415000,85041,2003,3,2.0,1770.0,4.5,76.54
289900,85008,1948,2,1.0,944.0,4.5,81.79
1000000,85015,2020,4,3.5,2969.0,5.5,100.04
500000,85008,1955,3,1.5,1145.0,4.5,81.79
595000,85281,1961,3,1.75,1780.0,0.0,94.49
375000,85029,1960,4,2.0,1580.0,3.3,91.9
384999,85006,1906,2,1.75,1048.0,1.9,94.44
415000,85041,2006,3,2.0,1524.0,4.5,76.54
415000,85004,2008,3,2.5,1576.0,1.2,94.44
399900,85053,1974,3,2.0,1170.0,1.5,91.9
355000,85009,1949,3,2.0,1458.0,4.0,65.7
699999,85015,1950,3,2.0,1773.0,5.5,100.04
519000,85006,1945,2,1.0,945.0,1.9,94.44
650000,85006,1940,3,3.0,1900.0,1.9,94.44
199750,85009,1950,3,1.0,1782.0,4.0,65.7
450000,85304,1979,3,2.0,1649.0,0.2,91.9
350000,85051,1954,5,2.0,1924.0,4.3,91.9
610000,85032,1965,6,4.0,2200.0,3.2,99.97
475000,85053,1973,3,2.0,1619.0,1.5,91.9
799950,85016,1959,3,2.0,2407.0,3.2,97.13
340000,85035,1973,4,2.0,1330.0,3.3,95.89
335000,85017,1954,3,1.75,1404.0,4.1,100.04
515000,85339,2014,4,2.5,2522.0,2.0,94.47
475000,85304,1974,3,2.0,1772.0,0.2,91.9
475000,85029,1971,3,2.0,1590.0,3.3,91.9
799900,85028,1960,4,3.0,2053.0,0.6,99.97
355000,85009,1956,3,2.0,1476.0,4.0,65.7
415000,85021,1957,3,2.0,1694.0,2.8,91.9
429000,85281,1962,3,2.0,1280.0,0.0,94.49
435000,85029,1978,3,2.0,1338.0,3.3,91.9
300000,85009,1946,2,1.0,712.0,4.0,65.7
974900,85018,1969,3,2.0,2038.0,2.2,75.8
385000,85019,1952,4,2.0,1781.0,2.5,100.04
440000,85031,1957,3,1.75,2106.0,2.4,100.04
395999,85303,1986,3,2.0,1434.0,0.0,95.89
925000,85020,1950,4,4.0,2290.0,2.1,97.13
505000,85042,2019,3,2.0,1741.0,2.9,76.54
340000,85033,2000,2,2.0,919.0,3.0,95.89
411000,85051,1962,4,2.0,1530.0,4.3,91.9
525000,85306,1972,4,3.0,2332.0,0.3,91.9
369900,85303,1986,3,2.0,1242.0,0.0,95.89
379000,85033,1981,4,2.0,1552.0,3.0,95.89
