ID,Price,Address,zip,status,Subdivision,Year Built,Bedrooms,Bathrooms,Approx SQFT
64,715000,717 W CALDWELL ST,85041,Active,EMBARCADERO AT SOUTH MOUNTAIN,2017,5,4,2789
65,499900,5723 S 30TH GLN,85041,Active,PARK MEADOWS UNIT 2,2019,3,2,1547
66,320000,5524 W WINDSOR AVE,85035,Active,HOMESTEAD TERRACE UNIT 4,1969,3,2,1260
67,700000,7823 E CULVER ST,85257,Active,MCDOWELL PARKWAY,1958,4,2,1380
68,275000,5624 N 62ND AVE,85301,Active,MARYVALE TERRACE 20-A LTS 7490-7494,1959,3,1.25,1020
69,499990,2917 W ASTER DR,85029,Active,WESTOWN 3,1959,4,2,2180
70,750000,1641 E PALO VERDE DR,85016,Active,MADISON VILLAGE,1962,3,2,1613
71,428000,3324 W LATHAM ST,85009,Active,WESTCROFT PLACE PLAT 2,1951,4,2,1888
72,974999,13401 N 31ST PL,85032,Active,RESERVE AT SHADOW MOUNTAIN,2006,5,3.5,3515
73,389900,4742 N 47TH AVE,85031,Active,MARYVALE TERRACE 2B LOTS 787-951,1955,3,2,1400
74,406000,4611 N 56TH LN,85031,Active,MARYVALE TERRACE 14,1957,4,2,1692
75,549000,3908 E Carol Ann WAY,85032,UCB (Under Contract-Backups),Silvertree 1,1986,3,2,1608
76,465000,2237 N 21ST PL,85006,Active,KNAPE PLACE,1920,3,2,1047
77,550000,5658 W HARMONT DR,85302,Active,PARADISE VISTAS 2,2005,4,2.5,2961
78,425000,13225 N 34TH DR,85029,UCB (Under Contract-Backups),SURREY HEIGHTS 5,1970,3,2,1986
79,450000,5136 W HEARN RD,85306,Active,DEERVIEW UNIT 15,1972,3,2,1820
80,479900,8514 E PASADENA AVE,85250,Active,PARK SCOTTSDALE 2,1961,3,1.75,1260
81,410000,7742 W PALM LN,85035,Active,VINSANTO,2017,4,2.5,1727
82,365000,8140 W VERDE LN,85033,Active,MARYVALE TERRACE 30 TR A,1962,3,2,1080
83,345000,310 E DESERT DR,85042,Active,THUNDERBIRD COUNTRY CLUB EST 6,1971,3,1.75,1200
84,425000,2624 E CACTUS RD,85032,Active,CLEARVIEW 3,1972,3,2,1460
85,466000,7225 S 17TH DR,85041,Active,COURTYARDS AT MADISON RANCH,2017,3,3,1791
86,775000,6144 W FREEWAY LN,85302,Active,ALICE PARK,2018,5,3,3021
87,379900,7605 W WHITTON AVE,85033,Active,MARYVALE TERRACE 28A LOTS 11601-11616,1961,4,2,1300
88,549000,3050 E SHANGRI LA RD,85028,Active,MELROSE PARADISE 1,1960,3,2,1656
89,459000,2929 E WIER AVE,85040,Active,WIER ESTATES LOTS 159-168,2021,4,3,2304
90,445000,3709 W MESCAL ST,85029,Active,melrose gardens,1969,4,2,1821
91,380000,1435 E CHAMBERS ST,85040,Active,SOUTH MOUNTAIN VISTA 1 UNIT 3 LOTS 213-221,1959,3,2.5,1083
92,850000,301 W LEWIS AVE,85003,Active,FAIRVIEW HOMES,1937,3,2,1478
93,399000,4165 W WETHERSFIELD RD,85029,Active,CACTUS PARK,1995,3,2.5,1568
94,350000,1521 E PINCHOT AVE,85014,UCB (Under Contract-Backups),PEPER-THURMAN TRACT,1950,2,1,1586
95,605000,2435 E FREMONT RD,85042,Active,FAIRWAYS AT THE LEGACY UNIT 1 REPLAT,2001,3,2,2144
96,630000,7240 N DREAMY DRAW DR 126,85020,Active,LEGENDS AT DREAMY DRAW CONDOMINIUMS,1998,4,2.5,2408
97,425000,4809 W PARADISE DR,85304,Active,CONTINENTAL NORTH UNIT 8,1973,4,2,1730
98,275000,6633 W OSBORN RD,85033,Active,MARYVALE TERRACE 31,1961,3,1.5,952
99,450000,2025 W Eugie AVE,85029,Active,MOON VALLEY GARDENS LOTS 377-392 & TR A,1966,4,2,1560
100,525000,12340 N 58TH DR,85304,Active,MISSION GROVES 3 AT MARSHALL RANCH,1996,4,2,1979
101,450000,2038 W CAMPBELL AVE,85015,Active,MELROSE ESTATES,1956,3,2,2124
102,470000,4619 W Becker LN,85304,Active,Cavalier West,1972,4,2,1975
103,475000,3212 E LAUREL LN,85028,Active,SUMMER LANE,1994,3,2,1306
104,449500,4031 W Cochise DR,85051,Active,Garden Villa,1974,3,2,1743
105,367000,2038 N 29TH ST,85008,Active,SANDIGE SQUARE,1949,2,1,700
106,799000,340 W Gleneagles DR,85023,Active,MOON VALLEY 2,1972,4,2,2565
107,624950,3722 E GREENWAY LN,85032,Active,PARADISE VALLEY OASIS 11,1980,5,2,2080
108,404999,3102 W ALVARADO RD,85009,Active,NORTHWEST HOMESITES 2 BLKS 20-26,1962,3,2,1344
109,995990,3011 E HARWELL RD,85042,UCB (Under Contract-Backups),Blossom Hills II,2017,4,3.5,3085
110,420000,3916 W AUGUSTA AVE,85051,Active,NORTHERN PALMS,1970,3,1.75,1732
111,487000,1845 E PALM LN,85006,Active,MCDOWELL MANORS ANNEX,1946,2,1,1300
112,450000,2831 N 33RD ST,85008,Active,SHARON LEE PLACE,1953,3,1,1496
113,450000,4238 N 10th PL,85014,Active,DEVONSHIRE MANOR,1950,3,1,1313
114,524900,15602 N 38TH PL,85032,Active,SILVERTREE,1984,3,2.75,2026
115,500000,1326 E CORONADO RD,85006,Active,GOVERNOR SQUARE,1939,2,1,942
116,424000,4008 N 59TH AVE,85033,Active,MARYVALE TERRACE 4 AMD,1958,5,2.5,2135
117,347953,2917 N 44TH LN,85031,Active,MARYVALE TERRACE 17 LOTS 5553-5694,1958,3,2,1411
118,439000,3935 W SURREY AVE,85029,Active,WESTCLIFF PARK UNIT 2,1980,3,2,1442
119,350000,9022 N 18TH DR,85021,Active,COX VILLAGE,1959,3,2,1714
120,250000,14609 N 29TH AVE,85053,Active,COUNTRY GABLES LOT 1-31 TR A & B,1961,3,2,1120
121,420000,6204 S 16TH LN,85041,Active,SOUTHGATE,2003,3,2,1376
122,789000,5515 N 11TH ST,85014,Active,McMurry/TMG TOWNHOUSE TERRACE 3,1951,3,2.5,1961
123,373000,4248 E SAINT CATHERINE AVE,85042,Active,UNIVERSITY MEADOWS UNIT 2,1973,3,1.5,1262
124,950000,516 E PASADENA AVE,85012,Active,WINDSOR SQUARE BLOCK 7 LOTS 27 UP BLOCK 8 LOTS 16,1947,3,2,1850
125,375000,6825 W DENTON LN,85303,Active,HALLCRAFT WEST SIDE ESTATES,1978,3,2,1699
126,600000,4625 E ALMERIA RD,85008,Active,RANCHO MIO,1953,4,3,1902
127,405000,1525 W NORTH LN,85021,Active,SKYCREST,1958,3,2,1200
128,389900,2246 E NANCY LN,85042,Active,DEL MONTE PLAZA,1957,3,2,1325
129,470000,2520 W SURREY AVE,85029,Active,MELROSE PARK ESTATES,1978,3,2,1646
130,440000,2724 W GRENADINE RD,85041,Active,BARCELONA,2013,4,2,1681
131,485000,3146 W FREMONT RD,85041,Active,LAVEEN VILLAGE AMD,2003,3,2,1531
132,435000,10034 N 40TH AVE,85051,Active,Garden Villa,1985,3,2,1472
133,780000,2437 E SOUTH MOUNTAIN AVE,85042,Active,HIGHLAND TERRACE,2018,4,3.5,2660
134,374900,2606 N 50TH LN,85035,Active,BRAEWOOD ESTATES 2,1972,3,1.75,1220
135,605000,7810 E KIMSEY LN,85257,Active,MEREWAY MANOR LOTS 200-217,1989,2,2,1260
136,800000,15632 N 18th ST,85022,Active,Sunset Hills 1,1984,4,3,2371
137,369990,4001 W GOLDEN LN,85051,UCB (Under Contract-Backups),NEWCASTLE HOMES 5,1962,3,2,1470
138,479900,1338 E CLARENDON AVE,85014,Active,LONGVIEW ACRES,1945,3,2,1379
139,385000,2444 W ECHO LN,85021,Active,FREEWAY PARK 2,1959,3,2,1486
140,500000,1533 W 7TH ST,85281,Active,LINDON PARK 9,1961,5,2,2022
141,539000,2044 E Monterey WAY,85016,Active,Osborn Parkway 2,1956,4,3,1897
142,429900,1615 N 56TH LN,85035,Active,MARYVALE TERRACE NO. 40,1970,5,2,2140
143,321900,2206 E BURGESS LN,85042,UCB (Under Contract-Backups),DEL MONTE PLAZA,1960,4,1,1170
144,534900,5239 W KALER CIR,85301,Active,MANISTEE RANCH PARCEL 3,2000,4,2,2071
145,265000,302 E MOHAVE ST,85004,Active,COPE ADD BLKS 1-6,1940,3,1,680
146,324950,2001 W ENCANTO BLVD,85009,Active,Villa Verde Acres,1950,2,1,780
147,499000,3141 W LANE AVE,85051,Active,SANDS WEST 2,1964,4,2,1920
148,799900,3523 N 35th ST,85018,Active,POMELO PARK ANNEX,1951,3,2,1895
149,995000,9430 N 25TH ST,85028,UCB (Under Contract-Backups),ESTATES AT DREAMY DRAW TRACTS A THRU F,1985,3,3,2725
150,485000,3131 N 18TH AVE,85015,Active,TRUMAN TERRACE PLAT 2 lot 9,1950,3,1,1308
151,339900,5651 W MONTE VISTA RD,85035,Active,HOMESTEAD TERRACE UNIT 7,1970,4,2,1564
152,410000,2810 N 73RD DR,85035,Active,VILLAGES AT WESTRIDGE PARK CONDOMINIUM,2017,3,2.5,1675
153,541000,5653 W DESERT JEWEL DR,85302,Active,PARADISE VISTAS 2,2005,4,2,2159
154,625000,825 W 19TH ST,85281,Active,PARKWAY MANOR,1962,4,2.5,2315
155,644900,6908 E CULVER ST,85257,Active,PAPAGO PARKWAY,1959,3,2,1610
156,449900,2421 W ANDERSON AVE,85023,Active,VILLAGE MEADOWS 2,1959,3,2,2243
157,460000,3435 W KINGS AVE,85053,Active,RANCHO ENCANTO UNIT 1,1975,3,2,1908
158,200000,8921 N 10TH ST,85020,UCB (Under Contract-Backups),NA,1958,2,1,672
159,995500,134 E BETHANY HOME RD,85012,Active,ORANGEWOOD LOTS 11-15 BLOCK 2,1955,3,2,1654
160,399000,2131 W JOAN DE ARC AVE,85029,UCB (Under Contract-Backups),MOON VALLEY GARDENS PLAT A,1962,3,2,1283
161,529900,2515 E Broadway RD,85040,Active,N/A,2022,4,3.5,2220
162,299999,6509 N 61st AVE,85301,Active,ORANGECROFT,1947,2,1,768
163,620000,1002 E VILLAGE CIRCLE DR N,85022,Active,VILLAGES,1974,4,1.75,2081
164,479900,310 W MARCONI AVE,85023,Active,LAS MERIDAS,1991,3,2,1567
