id,Price,Address,zip,status,mls,Subdivision,Year Built,Bedrooms,Bathrooms,Approx SQFT,CrimeRate
48,329900,1508 W CARTER RD,85041,Active,6362582,VISTA GRANDE UNIT 4,1982,3,2,1208,4.5
49,420000,5315 W Saint Moritz LN,85306,Active,6387411,PATIO HOMES NORTH 5,1971,4,2,1288,0.3
50,975000,7810 N 16TH LN,85021,Active,6395373,SKAGGS ESTATES,1952,3,2,2513,2.8
51,414000,1641 N 27TH PL,85008,Active,6358870,WILLIAM CREIGHTON MANOR,1951,3,2,1217,4.5
52,348000,6447 W PICCADILLY RD,85033,Active,6388193,Sunset Knoll 2,1960,3,2,1300,3.0
53,365000,3624 W CORONADO RD,85009,Active,6395369,TOWN HOUSE PARK,1953,3,2,1227,4.0
54,399000,3706 S 57th LN,85043,Active,6395366,CYPRESS RIDGE PHASE 1,2021,3,2.5,1958,3.2
55,439000,9817 N 40TH DR,85051,Active,6390376,NEWCASTLE VILLAGE UNIT 4,1971,3,1.75,1759,4.3
56,995000,3215 E ORANGE DR,85018,UCB (Under Contract-Backups),6379106,BILTMORE CIRCLE,1960,3,2,1474,2.2
57,459000,1107 E EL CAMINITO DR,85020,UCB (Under Contract-Backups),6388133,NEW NORTHTOWN 2,1959,3,2,1508,2.1
58,410000,4426 W VOGEL AVE,85302,Active,6392378,CONTINENTAL MEADOWS NORTH UNIT 5,1971,3,2,1432,0.0
59,450000,8312 N 62ND DR,85302,Active,6391475,EXECUTIVE PALMS,1997,4,2.5,2163,0.0
60,699000,6825 N 10TH PL,85014,Active,6395318,PALM TERRACE 2,1950,4,2,1575,1.9
61,445000,2206 W GLENDALE AVE,85021,Active,6365808,NEWCASTLE HOMES 1 LOTS 1-121,1956,4,3,1581,2.8
62,375000,8501 W MEADOWBROOK AVE,85037,Active,6393821,HORIZONS ON CAMELBACK UNIT 2,1996,3,2,1500,1.9
63,600000,927 N 8TH ST,85006,Active,6331331,HAMILTON SUB.,1911,2,1,1022,1.9
64,715000,717 W CALDWELL ST,85041,Active,6391124,EMBARCADERO AT SOUTH MOUNTAIN,2017,5,4,2789,4.5
65,499900,5723 S 30TH GLN,85041,Active,6395300,PARK MEADOWS UNIT 2,2019,3,2,1547,4.5
66,320000,5524 W WINDSOR AVE,85035,Active,6395094,HOMESTEAD TERRACE UNIT 4,1969,3,2,1260,3.3
67,700000,7823 E CULVER ST,85257,Active,6383415,MCDOWELL PARKWAY,1958,4,2,1380,#N/A
68,275000,5624 N 62ND AVE,85301,Active,6388896,MARYVALE TERRACE 20-A LTS 7490-7494,1959,3,1.25,1020,0.0
69,499990,2917 W ASTER DR,85029,Active,6393935,WESTOWN 3,1959,4,2,2180,3.3
70,750000,1641 E PALO VERDE DR,85016,Active,6394873,MADISON VILLAGE,1962,3,2,1613,3.2
71,428000,3324 W LATHAM ST,85009,Active,6388153,WESTCROFT PLACE PLAT 2,1951,4,2,1888,4.0
72,974999,13401 N 31ST PL,85032,Active,6364671,RESERVE AT SHADOW MOUNTAIN,2006,5,3.5,3515,3.2
73,389900,4742 N 47TH AVE,85031,Active,6395268,MARYVALE TERRACE 2B LOTS 787-951,1955,3,2,1400,2.4
74,406000,4611 N 56TH LN,85031,Active,6389035,MARYVALE TERRACE 14,1957,4,2,1692,2.4
75,549000,3908 E Carol Ann WAY,85032,UCB (Under Contract-Backups),6393831,Silvertree 1,1986,3,2,1608,3.2
76,465000,2237 N 21ST PL,85006,Active,6395250,KNAPE PLACE,1920,3,2,1047,1.9
77,550000,5658 W HARMONT DR,85302,Active,6381553,PARADISE VISTAS 2,2005,4,2.5,2961,0.0
78,425000,13225 N 34TH DR,85029,UCB (Under Contract-Backups),6389314,SURREY HEIGHTS 5,1970,3,2,1986,3.3
79,450000,5136 W HEARN RD,85306,Active,6387784,DEERVIEW UNIT 15,1972,3,2,1820,0.3
80,479900,8514 E PASADENA AVE,85250,Active,6395226,PARK SCOTTSDALE 2,1961,3,1.75,1260,#N/A
81,410000,7742 W PALM LN,85035,Active,6395213,VINSANTO,2017,4,2.5,1727,3.3
82,365000,8140 W VERDE LN,85033,Active,6395209,MARYVALE TERRACE 30 TR A,1962,3,2,1080,3.0
83,345000,310 E DESERT DR,85042,Active,6381113,THUNDERBIRD COUNTRY CLUB EST 6,1971,3,1.75,1200,2.9
84,425000,2624 E CACTUS RD,85032,Active,6387606,CLEARVIEW 3,1972,3,2,1460,3.2
85,466000,7225 S 17TH DR,85041,Active,6395199,COURTYARDS AT MADISON RANCH,2017,3,3,1791,4.5
86,775000,6144 W FREEWAY LN,85302,Active,6395195,ALICE PARK,2018,5,3,3021,0.0
87,379900,7605 W WHITTON AVE,85033,Active,6371448,MARYVALE TERRACE 28A LOTS 11601-11616,1961,4,2,1300,3.0
88,549000,3050 E SHANGRI LA RD,85028,Active,6393900,MELROSE PARADISE 1,1960,3,2,1656,0.6
89,459000,2929 E WIER AVE,85040,Active,6374699,WIER ESTATES LOTS 159-168,2021,4,3,2304,2.8
90,445000,3709 W MESCAL ST,85029,Active,6392462,melrose gardens,1969,4,2,1821,3.3
91,380000,1435 E CHAMBERS ST,85040,Active,6386660,SOUTH MOUNTAIN VISTA 1 UNIT 3 LOTS 213-221,1959,3,2.5,1083,2.8
92,850000,301 W LEWIS AVE,85003,Active,6395174,FAIRVIEW HOMES,1937,3,2,1478,1.1
93,399000,4165 W WETHERSFIELD RD,85029,Active,6395173,CACTUS PARK,1995,3,2.5,1568,3.3
94,350000,1521 E PINCHOT AVE,85014,UCB (Under Contract-Backups),6393735,PEPER-THURMAN TRACT,1950,2,1,1586,1.9
95,605000,2435 E FREMONT RD,85042,Active,6395158,FAIRWAYS AT THE LEGACY UNIT 1 REPLAT,2001,3,2,2144,2.9
96,630000,7240 N DREAMY DRAW DR 126,85020,Active,6395145,LEGENDS AT DREAMY DRAW CONDOMINIUMS,1998,4,2.5,2408,2.1
97,425000,4809 W PARADISE DR,85304,Active,6383379,CONTINENTAL NORTH UNIT 8,1973,4,2,1730,0.2
98,275000,6633 W OSBORN RD,85033,Active,6395140,MARYVALE TERRACE 31,1961,3,1.5,952,3.0
99,450000,2025 W Eugie AVE,85029,Active,6375598,MOON VALLEY GARDENS LOTS 377-392 & TR A,1966,4,2,1560,3.3
100,525000,12340 N 58TH DR,85304,Active,6395130,MISSION GROVES 3 AT MARSHALL RANCH,1996,4,2,1979,0.2
101,450000,2038 W CAMPBELL AVE,85015,Active,6395125,MELROSE ESTATES,1956,3,2,2124,5.5
102,470000,4619 W Becker LN,85304,Active,6395116,Cavalier West,1972,4,2,1975,0.2
103,475000,3212 E LAUREL LN,85028,Active,6395114,SUMMER LANE,1994,3,2,1306,0.6
104,449500,4031 W Cochise DR,85051,Active,6395110,Garden Villa,1974,3,2,1743,4.3
105,367000,2038 N 29TH ST,85008,Active,6395106,SANDIGE SQUARE,1949,2,1,700,4.5
106,799000,340 W Gleneagles DR,85023,Active,6384111,MOON VALLEY 2,1972,4,2,2565,3.4
107,624950,3722 E GREENWAY LN,85032,Active,6387325,PARADISE VALLEY OASIS 11,1980,5,2,2080,3.2
108,404999,3102 W ALVARADO RD,85009,Active,6391840,NORTHWEST HOMESITES 2 BLKS 20-26,1962,3,2,1344,4.0
109,995990,3011 E HARWELL RD,85042,UCB (Under Contract-Backups),6392482,Blossom Hills II,2017,4,3.5,3085,2.9
110,420000,3916 W AUGUSTA AVE,85051,Active,6393803,NORTHERN PALMS,1970,3,1.75,1732,4.3
111,487000,1845 E PALM LN,85006,Active,6391140,MCDOWELL MANORS ANNEX,1946,2,1,1300,1.9
112,450000,2831 N 33RD ST,85008,Active,6393791,SHARON LEE PLACE,1953,3,1,1496,4.5
113,450000,4238 N 10th PL,85014,Active,6395076,DEVONSHIRE MANOR,1950,3,1,1313,1.9
114,524900,15602 N 38TH PL,85032,Active,6393103,SILVERTREE,1984,3,2.75,2026,3.2
115,500000,1326 E CORONADO RD,85006,Active,6394283,GOVERNOR SQUARE,1939,2,1,942,1.9
116,424000,4008 N 59TH AVE,85033,Active,6394590,MARYVALE TERRACE 4 AMD,1958,5,2.5,2135,3.0
117,347953,2917 N 44TH LN,85031,Active,6393074,MARYVALE TERRACE 17 LOTS 5553-5694,1958,3,2,1411,2.4
118,439000,3935 W SURREY AVE,85029,Active,6393008,WESTCLIFF PARK UNIT 2,1980,3,2,1442,3.3
119,350000,9022 N 18TH DR,85021,Active,6394533,COX VILLAGE,1959,3,2,1714,2.8
120,250000,14609 N 29TH AVE,85053,Active,6395026,COUNTRY GABLES LOT 1-31 TR A & B,1961,3,2,1120,1.5
121,420000,6204 S 16TH LN,85041,Active,6394466,SOUTHGATE,2003,3,2,1376,4.5
122,789000,5515 N 11TH ST,85014,Active,6392689,McMurry/TMG TOWNHOUSE TERRACE 3,1951,3,2.5,1961,1.9
123,373000,4248 E SAINT CATHERINE AVE,85042,Active,6389388,UNIVERSITY MEADOWS UNIT 2,1973,3,1.5,1262,2.9
124,950000,516 E PASADENA AVE,85012,Active,6389286,WINDSOR SQUARE BLOCK 7 LOTS 27 UP BLOCK 8 LOTS 16,1947,3,2,1850,0.6
125,375000,6825 W DENTON LN,85303,Active,6393401,HALLCRAFT WEST SIDE ESTATES,1978,3,2,1699,0.0
126,600000,4625 E ALMERIA RD,85008,Active,6384843,RANCHO MIO,1953,4,3,1902,4.5
127,405000,1525 W NORTH LN,85021,Active,6392178,SKYCREST,1958,3,2,1200,2.8
128,389900,2246 E NANCY LN,85042,Active,6393215,DEL MONTE PLAZA,1957,3,2,1325,2.9
129,470000,2520 W SURREY AVE,85029,Active,6389220,MELROSE PARK ESTATES,1978,3,2,1646,3.3
130,440000,2724 W GRENADINE RD,85041,Active,6393902,BARCELONA,2013,4,2,1681,4.5
131,485000,3146 W FREMONT RD,85041,Active,6395080,LAVEEN VILLAGE AMD,2003,3,2,1531,4.5
132,435000,10034 N 40TH AVE,85051,Active,6395067,Garden Villa,1985,3,2,1472,4.3
133,780000,2437 E SOUTH MOUNTAIN AVE,85042,Active,6395063,HIGHLAND TERRACE,2018,4,3.5,2660,2.9
134,374900,2606 N 50TH LN,85035,Active,6395048,BRAEWOOD ESTATES 2,1972,3,1.75,1220,3.3
135,605000,7810 E KIMSEY LN,85257,Active,6387902,MEREWAY MANOR LOTS 200-217,1989,2,2,1260,#N/A
136,800000,15632 N 18th ST,85022,Active,6395043,Sunset Hills 1,1984,4,3,2371,2.6
137,369990,4001 W GOLDEN LN,85051,UCB (Under Contract-Backups),6388342,NEWCASTLE HOMES 5,1962,3,2,1470,4.3
138,479900,1338 E CLARENDON AVE,85014,Active,6389822,LONGVIEW ACRES,1945,3,2,1379,1.9
139,385000,2444 W ECHO LN,85021,Active,6392497,FREEWAY PARK 2,1959,3,2,1486,2.8
140,500000,1533 W 7TH ST,85281,Active,6395021,LINDON PARK 9,1961,5,2,2022,0.0
141,539000,2044 E Monterey WAY,85016,Active,6392679,Osborn Parkway 2,1956,4,3,1897,3.2
142,429900,1615 N 56TH LN,85035,Active,6389246,MARYVALE TERRACE NO. 40,1970,5,2,2140,3.3
143,321900,2206 E BURGESS LN,85042,UCB (Under Contract-Backups),6392091,DEL MONTE PLAZA,1960,4,1,1170,2.9
144,534900,5239 W KALER CIR,85301,Active,6379883,MANISTEE RANCH PARCEL 3,2000,4,2,2071,0.0
145,265000,302 E MOHAVE ST,85004,Active,6392216,COPE ADD BLKS 1-6,1940,3,1,680,1.2
146,324950,2001 W ENCANTO BLVD,85009,Active,6378982,Villa Verde Acres,1950,2,1,780,4.0
147,499000,3141 W LANE AVE,85051,Active,6390059,SANDS WEST 2,1964,4,2,1920,4.3
148,799900,3523 N 35th ST,85018,Active,6394983,POMELO PARK ANNEX,1951,3,2,1895,2.2
149,995000,9430 N 25TH ST,85028,UCB (Under Contract-Backups),6393076,ESTATES AT DREAMY DRAW TRACTS A THRU F,1985,3,3,2725,0.6
150,485000,3131 N 18TH AVE,85015,Active,6393063,TRUMAN TERRACE PLAT 2 lot 9,1950,3,1,1308,5.5
151,339900,5651 W MONTE VISTA RD,85035,Active,6394961,HOMESTEAD TERRACE UNIT 7,1970,4,2,1564,3.3
152,410000,2810 N 73RD DR,85035,Active,6381507,VILLAGES AT WESTRIDGE PARK CONDOMINIUM,2017,3,2.5,1675,3.3
153,541000,5653 W DESERT JEWEL DR,85302,Active,6372848,PARADISE VISTAS 2,2005,4,2,2159,0.0
154,625000,825 W 19TH ST,85281,Active,6355143,PARKWAY MANOR,1962,4,2.5,2315,0.0
155,644900,6908 E CULVER ST,85257,Active,6379750,PAPAGO PARKWAY,1959,3,2,1610,#N/A
156,449900,2421 W ANDERSON AVE,85023,Active,6384844,VILLAGE MEADOWS 2,1959,3,2,2243,3.4
157,460000,3435 W KINGS AVE,85053,Active,6389264,RANCHO ENCANTO UNIT 1,1975,3,2,1908,1.5
158,200000,8921 N 10TH ST,85020,UCB (Under Contract-Backups),6374155,NA,1958,2,1,672,2.1
159,995500,134 E BETHANY HOME RD,85012,Active,6317124,ORANGEWOOD LOTS 11-15 BLOCK 2,1955,3,2,1654,0.6
160,399000,2131 W JOAN DE ARC AVE,85029,UCB (Under Contract-Backups),6390606,MOON VALLEY GARDENS PLAT A,1962,3,2,1283,3.3
161,529900,2515 E Broadway RD,85040,Active,6394902,N/A,2022,4,3.5,2220,2.8
162,299999,6509 N 61st AVE,85301,Active,6389241,ORANGECROFT,1947,2,1,768,0.0
163,620000,1002 E VILLAGE CIRCLE DR N,85022,Active,6394364,VILLAGES,1974,4,1.75,2081,2.6
164,479900,310 W MARCONI AVE,85023,Active,6394883,LAS MERIDAS,1991,3,2,1567,3.4
165,375000,1606 W CULVER ST,85007,Active,6381827,FQ STORY ADDITION PLAT E,1947,2,1,917,1.6
166,435000,4123 W Hayward AVE,85051,UCB (Under Contract-Backups),6393765,NORTHERN PALMS,1970,3,2,1652,4.3
167,615000,330 W HAZELWOOD ST,85013,Active,6385135,SOUTH PIERSON PLACE HISTORIC & NATIONAL REGISTER NEIGHBORHOOD,1943,3,2,1647,2.0
168,664450,1217 E ESCONDIDO DR,85014,Active,6391329,ESCONDIDO HERMOSO,1970,2,2,1614,1.9
169,405000,2432 W Roeser RD,85041,Active,6394857,WESTON PARK UNIT 2,2005,4,2,1756,4.5
170,799000,3908 N 83RD ST,85251,Active,6385878,SCOTTSDALE ESTATES 8 LOTS 888-1013,1958,3,2,1716,0.0
171,414900,7014 S 45TH PL,85042,Active,6394844,KNOELL GARDEN GROVES UNIT 5,1983,3,2,1334,2.9
172,334999,6638 N 53RD DR REAR,85301,Active,6390276,SUGAR ADD BLKS 7-12 & 16,1955,3,2,950,0.0
173,300000,1817 E RAYMOND ST,85040,Active,6390433,PROGRESS PLACE,1991,3,2,1150,2.8
174,324900,3442 W ALTADENA AVE,85029,Active,6388690,WESTOWN 7 LOT 1242-1376 & TR D,1961,3,2,1192,3.3
175,489900,2638 W SPENCER Run,85041,Active,6373147,WESTON PARK UNIT 1,2004,3,2.5,2334,4.5
176,345000,2921 W HIGHLAND AVE,85017,UCB (Under Contract-Backups),6389042,NORTHWEST VILLAGE 2,1953,4,2,1272,4.1
177,415000,2610 W GABY RD,85041,Active,6394821,GRAYSON SQUARE,2010,3,2,1743,4.5
178,390000,3705 W LUKE AVE,85019,Active,6394820,COUNTRY LIFE HOMES UNIT 3,1957,3,2,1430,2.5
179,199000,2434 W MOHAVE ST,85009,Active,6376019,MEADOW ADDITION,1926,1,1,800,4.0
180,390000,6512 W MAGNOLIA ST,85043,Active,6394805,ARIZONA MEADOWS 2 AT TERRALEA,2005,3,2,1460,3.2
181,350000,757 W Southgate AVE,85041,Active,6394797,FRANCES MARGARET SUB.,1960,4,1,1556,4.5
182,421000,6709 N 77TH DR,85303,Active,6363214,MEADOWS AT INDEPENDENCE LOT 1-297,1994,3,2,1446,0.0
183,444000,10214 N 46TH AVE,85302,Active,6377856,WESTMINSTER VILLAGE AMD,1975,4,2,1823,0.0
184,432000,4544 W CAVALIER DR,85301,Active,6336632,WEST PLAZA 14A LOT 205-213 & TR B,1964,4,3,2377,0.0
185,495000,7208 S 30TH ST,85042,Active,6349413,ENCANTO AT THE LEGACY,2000,4,3,1841,2.9
186,454000,5662 W LAS PALMARITAS DR,85302,Active,6356715,PARADISE VISTAS,2002,3,2,1825,0.0
187,377000,7014 W VERDE LN,85033,Active,6349393,MARYVALE TERRACE NO. 49,1982,4,2,1312,3.0
188,384000,3101 N 75TH DR,85033,Active,6370062,LAURELWOOD UNIT 4,1979,3,2,1524,3.0
189,334000,8101 W MEADOWBROOK AVE,85033,Active,6389649,MARYVALE TERRACE NO. 53-B,1980,2,1,840,3.0
190,424000,7333 N 39TH DR,85051,Active,6362486,MELROSE SHADOWS 2,1961,4,3,1932,4.3
191,466000,6027 N 61ST DR,85301,Active,6386349,MARYVALE TERRACE 21 LTS 7803-7913 & TR A,1960,4,2,1665,0.0
192,490000,5333 W CHERYL DR,85302,Active,6387182,OAKDALE,1985,3,2,1889,0.0
193,497000,2138 E MONTE CRISTO AVE,85022,Active,6381058,MOUNTAIN VISTA UNIT ONE,1978,4,2,1596,2.6
194,716000,4416 E WHITNEY LN,85032,Active,6377287,COVEY UNIT 11,1988,4,3,2486,3.2
195,393000,7212 N 20TH DR,85021,Active,6381666,WESTWOOD HEIGHTS 2,1960,3,2,1321,2.8
196,345000,2030 N 37TH DR,85009,Active,6389172,DEL MONTE VILLAGE 1,1954,3,1.5,1640,4.0
197,341000,3426 W MARICOPA ST,85009,Active,6382579,TIERRA VERDE,1951,2,1,993,4.0
198,384000,5449 W FLOWER ST,85031,Active,6360461,MARYVALE TERRACE 19 LTS 6441-6445 & TR A,1959,3,2,1608,2.4
199,490000,5033 W NANCY LN,85339,Active,6379343,RANCHO VERDE ESTATES,2005,4,2,1885,2.0
200,475000,3531 W CHERYL DR,85051,Active,6388863,CONTINENTAL MEADOWS NORTH,1969,3,2,1843,4.3
201,338000,3622 W BERKELEY RD,85009,Active,6349409,TOWN HOUSE PARK,1953,3,1,1080,4.0
202,478000,4226 W TUCKEY LN,85019,Active,6381866,WEST PLAZA 12 LOT 2042-2211,1960,3,2,1676,2.5
203,325000,502 W MONTE WAY,85041,Active,6332544,SOUTH MOUNTAIN HEIGHTS,1950,2,1,1284,4.5
204,354000,6019 N 32ND DR,85017,Active,6348070,MARYVALE PARK 5 AMD,1954,3,2,1220,4.1
205,501000,6637 S 44TH LN,85339,Active,6365985,ROGERS RANCH UNIT 3,2005,5,3,2706,2.0
206,523000,3818 E BRANHAM LN,85042,Active,6387199,BLOSSOM HILLS,2018,3,2,1598,2.9
207,451000,2328 E WAYLAND DR,85040,Active,6369895,COPPER LEAF DEVELOPMENT UNIT 2,2007,4,2.5,1743,2.8
208,423000,10655 N 45TH DR,85304,Active,6377432,CAVALIER WEST,1972,3,2,1559,0.2
209,338000,6933 W GEORGIA AVE,85303,Active,6380897,HALLCRAFT WEST SIDE ESTATES 2,1977,2,1,832,0.0
210,505000,4636 W BURGESS LN,85339,Active,6382001,ROGERS RANCH UNIT 2,2005,5,3,2443,2.0
211,369999,3741 W MORELAND ST,85009,Active,6394785,WEST PHOENIX No. 4,1952,4,2,1415,4.0
212,585000,3925 W SANDRA TER,85053,Active,6390346,BRANDYWINE TERRACE,2004,4,2,2472,1.5
213,335000,833 E WIER AVE,85040,Active,6362536,ROSEVELT SQUARE,1976,3,1.5,1056,2.8
214,390000,1342 W 11TH ST W,85281,Active,6376927,MARGO MANOR LOTS 71-115,1960,3,1.5,1938,0.0
215,350000,4440 N 13TH PL,85014,Active,6366788,MEADOWBROOK TRACT BLK 1,1904,2,1,1070,1.9
216,389500,2007 N 55TH LN,85035,Active,6384613,MARYVALE TERRACE NO. 40A,1971,3,2,1064,3.3
217,425000,509 N 41ST PL,85008,Active,6394751,LANCASTER MANORS,1948,3,2,1376,4.5
218,445000,209 E HARTFORD AVE,85022,Active,6394749,CENTRAL PLACE NORTH LOT 1-140 TR A-L,1983,3,2,1322,2.6
219,900000,16031 N 16TH ST,85022,Active,6393908,LOOKOUT CANYON ESTATES LOT 1-49,1997,4,2.5,2776,2.6
220,649900,7013 E Cypress ST,85257,UCB (Under Contract-Backups),6387442,PAPAGO PARADISE UNIT 1,1955,4,2,1680,#N/A
221,415000,1701 W LYDIA LN,85041,Active,6394732,VINEYARD PARK,2003,3,2,1770,4.5
222,289900,3219 E PIERCE ST,85008,UCB (Under Contract-Backups),6378355,"SUNBEAM 1 BLK 15, 16, 21, 22",1948,2,1,944,4.5
223,1000000,6332 N 16TH AVE,85015,CCBS (Contract Contingent on Buyer Sale),6349521,MARLETTE ACRES,2020,4,3.5,2969,5.5
224,500000,2428 N 38TH ST,85008,Active,6394686,NORTH EAST VILLAGE 2,1955,3,1.5,1145,4.5
225,595000,1805 N McAllister AVE,85281,Active,6392791,Cavalier Hills 2,1961,3,1.75,1780,0.0
226,375000,3423 W CORRINE DR,85029,Active,6393575,"WESTOWN 5 LOT 925-928, 943, 957-975 TR A & B",1960,4,2,1580,3.3
227,384999,1442 E Garfield ST,85006,Active,6386539,KLECK TRACT,1906,2,1.75,1048,1.9
228,415000,2523 W Tamarisk ST,85041,Active,6394669,Grayson Square,2006,3,2,1524,4.5
229,415000,1714 S 5TH ST,85004,Active,6368672,COPE ADD BLKS 1-6,2008,3,2.5,1576,1.2
230,399900,3748 W ACOMA DR,85053,Active,6394660,THUNDERBIRD VILLAGE 3,1974,3,2,1170,1.5
231,355000,3123 W HOLLY ST,85009,Active,6391511,Northwest Homesites 2,1949,3,2,1458,4.0
232,699999,3615 N 15TH DR,85015,Active,6394649,WESTWOOD TERRACE,1950,3,2,1773,5.5
233,519000,1346 E CORONADO RD,85006,UCB (Under Contract-Backups),6384502,GOVERNOR SQUARE,1945,2,1,945,1.9
234,650000,2515 N 10TH ST,85006,Active,6394634,FOWLER TRACT LOTS 1-96,1940,3,3,1900,1.9
235,199750,1010 S 31ST AVE,85009,Active,6394633,BEG 461' N OF SE COR SE4 SW4 TH W 133' N 50' E 133' S 50' TO BEG EX E 33' .15 AC,1950,3,1,1782,4.0
