85017,234.32
85018,443.59
85303,251.0
85033,253.33
85019,241.23
85029,264.61
85051,246.57
85040,245.44
85013,379.48
85301,236.52
85032,333.93
85028,358.68
85020,333.31
85041,237.25
85014,378.93
85016,388.09
85006,375.96
85053,255.93
85251,480.84
85302,248.66
85304,263.13
85023,284.57
85306,270.54
85021,334.42
85008,321.51
85009,263.56
85043,248.42
85037,264.63
85035,245.07
85257,416.43
85031,231.12
85250,432.05
85042,272.55
85003,383.97
85015,299.84
85012,370.81
85022,294.29
85281,351.33
85004,373.08
85007,372.06
85339,232.77
85254,411.07
85345,282.0
85258,385.24
85034,302.79
85305,223.45
85282,366.92
