ID,Price,Address,zip,status,Subdivision,Year Built,Bedrooms,Bathrooms,Approx SQFT
63,546900,114 E Calavar RD,85022,Closed,Hillcrest Two / Hillcrest 2,1973,3,2,2342
64,300000,4426 W SUNNYSLOPE LN,85302,Closed,SKYVIEW NORTH,1971,2,1,896
65,375000,2921 N 53RD AVE,85031,Closed,MARYVALE TERRACE 19 LTS 6441-6445 & TR A,1958,4,2,1680
66,260000,5432 W MYRTLE AVE,85301,Closed,COOK & WHITE ADD AMD,1947,3,1,1300
67,198000,5522 W MYRTLE AVE,85301,Closed,"CATLIN COURT BLK 13-15, 18-20",1915,3,1,855
68,243500,4237 W LATHAM ST,85009,Closed,WINONA PARK 2 LOTS 75-78,1960,3,1,975
69,415000,2318 W CLAREMONT ST,85015,Closed,CAVALIER FREEWAY,1956,4,2,1296
70,550000,3058 E CAPTAIN DREYFUS AVE,85032,Closed,SWEETWATER COVE,1999,3,2,1554
71,344000,3223 W ACAPULCO LN,85053,Closed,"COUNTRY GABLES 2 LOT 256-281, 294-325, & TR D",1970,3,1.75,1562
72,560000,7537 N 17TH DR,85021,Closed,NORTHERN STAR UNIT 2,1954,4,1.75,1830
73,400000,6022 W PUEBLO AVE,85043,Closed,RIO DEL REY UNIT 2,2003,3,2,1442
74,365000,6419 W Desert Cove AVE,85304,Closed,Westbury Manor,1983,3,2,1292
75,330000,6751 W ORANGE DR,85303,Closed,WEST CAMELBACK VILLAGE,1973,2,1,816
76,721000,631 N 74th PL,85257,Closed,"NEW PAPAGO PARKWAY 11 LOTS 588-607, 614-628&TR C",1960,4,3,1508
77,485000,6958 W BROWN ST,85345,Closed,BRAEMAR UNIT 7,1986,3,2,1742
78,550000,2429 E BEVERLY RD,85042,Closed,MOUNTAIN TRAILS EAST,2018,3,2,1902
79,370000,5417 W CYPRESS ST,85035,Closed,WEDGEWOOD PARK,1973,3,2,1308
80,865000,3402 E INDIANOLA AVE,85018,Closed,WILSHIRE TERRACE,1958,4,3,2031
81,457000,9226 N 48TH DR,85302,Closed,SANDS WEST UNIT FIVE,1974,4,2,2012
82,775000,438 W HARMONT DR,85021,Closed,DIANA ESTATES PLAT 3,1956,3,2,2359
83,455000,2240 W BERRIDGE LN,85015,Closed,MELROSE VALLEY ESTATES 1,1958,4,2,1843
84,405000,6218 W WOOD ST,85043,Closed,RIO DEL REY UNIT 1,2001,4,2,1610
85,435000,5708 W FRIER DR,85301,Closed,SANDS ESTATES 5,1972,3,2,2374
86,389000,6541 W RIVA RD,85043,Closed,ESTRELLA MANOR,2002,3,2,1258
87,432000,2405 W ELLIS ST,85041,Closed,COPPER CREEK,2002,3,2,1763
88,375000,3850 N 12TH AVE,85013,Closed,WOODLAWN PARK,1947,2,1,1000
89,450000,505 W DESERT LN,85041,Closed,HIGHLINE ESTATES,2015,3,2,1618
90,430000,3823 N 84TH LN,85037,Closed,ARIZONA HOMES NO. 2,1971,4,2,1687
91,450000,6638 S 18TH LN,85041,Closed,VINEYARD PARK,2003,3,2,1741
92,390000,3828 W LAWRENCE RD,85019,Closed,FLEETWOOD UNIT 3,1958,3,3,1588
93,485000,5317 W SELDON LN,85302,Closed,ROYAL OAKS UNIT 9,1980,3,1.75,1725
94,555000,5612 S 58TH LN,85339,Closed,RIVERWALK VILLAGES PHASE 3 REPLAT,2015,4,2.5,2462
95,800000,5617 S MONTEZUMA ST,85041,Closed,None,1950,4,2,1653
96,520000,8307 S 23RD DR,85041,Closed,SILVA MOUNTAIN UNIT 1,2010,4,2.5,2326
97,795000,11423 N 12TH PL,85020,Closed,LEGEND AT POINTE TAPATIO CLIFFS,2002,3,2.5,2557
98,368199,2024 E HUBBELL ST,85006,Closed,JACKSON VILLA LOTS 1-27,1950,3,1.75,1364
99,554900,6828 S 12TH PL,85042,Closed,CORTONA,2021,4,3,1946
100,300000,3919 W TUCKEY LN,85019,Closed,WEST PLAZA 12 LOT 2042-2211,1960,2,1.75,1161
101,899000,8236 E GLENROSA AVE,85251,Closed,SCOTTSDALE ESTATES 9 LOTS 1184-1350,1959,3,2,1550
102,585000,7315 N 82ND DR,85303,Closed,WEST GLENN ESTATES,2002,5,3,2629
103,335000,1324 W SUNLAND AVE,85041,Closed,HIGHLAND PARK SUB PLAT 1,1955,3,1,863
104,651000,1336 E Georgia AVE,85014,Closed,SHERWOOD VILLAGE LOTS,1955,3,2,1677
105,565000,3147 W KINGS AVE W,85053,Closed,RANCHO ENCANTO UNIT 2,1978,4,2,2073
106,490000,4321 W RUTH AVE,85302,Closed,MANZANITA MANOR 2,1980,3,2,1806
107,495000,2249 E PECAN RD,85040,Closed,COPPER LEAF DEVELOPMENT UNIT 2,2007,3,2.5,1951
108,552000,7212 S 30th ST,85042,Closed,ENCANTO AT THE LEGACY,2000,3,2,1703
